trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-64.00344163746311,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-142.61666964195715,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-173.44494559693604,"{0: 20, 1: 5, 2: 5, 3: 4, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-22.946305753463907,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-119.67756057646673,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-99.73936391497318,"{0: 12, 1: 8, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-87.85155460838747,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-124.21145001127688,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-140.44927789156273,"{0: 9, 1: 8, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-82.06392943056026,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-102.02991413100622,"{0: 9, 1: 12, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-149.75959434771565,"{0: 13, 1: 11, 2: 1, 3: 5, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-66.31908219706102,"{0: 13, 1: 9, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-49.92957543180694,"{0: 10, 1: 8, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-78.50642671876788,"{0: 18, 1: 10, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-10.626190640485557,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-33.59565446413328,"{0: 15, 1: 9, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-35.565715652039714,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-55.78227633532683,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-55.90984131743695,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-55.020521852622814,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-48.2265305742918,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-40.162745641277404,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-60.55441040631463,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-57.03354367947255,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-23.587252196562737,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-56.71663517755002,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-44.904071150142386,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-50.55402592792896,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-40.25276706241026,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
