trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.98}",20,0,-75.10687048034795,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9603999999999999}",20,0,-56.12093944126462,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.9411919999999999}",20,0,-85.53188764493409,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.9223681599999999}",20,0,-114.7476726247701,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9039207967999998}",25,0,-24.56807322870031,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.8858423808639998}",25,0,-150.05192033936456,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.8681255332467198}",25,0,-179.9527593495316,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.8507630225817854}",20,0,-180.28880922694853,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.8337477621301497}",20,0,-71.91747036036924,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.8170728068875467}",20,0,-36.722191046400795,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.8007313507497957}",35,18,-65.78338820674041,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.8, 'e': 0.7847167237347998}",20,0,-104.92863228153179,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.7690223892601038}",25,0,-51.59807016565832,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.7536419414749017}",20,0,-64.61173052712977,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.7385691026454037}",20,0,-94.17611629603236,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.7237977205924956}",25,0,-154.9984687075226,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
