trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.44728556100169,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.38091657618288,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.09985897168636,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.6268554516659,"{0: 11, 1: 7, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.706250487621,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,16,4.6613440260752625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.65178944786753,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-233.88983224735108,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.14467485804941,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.47723071906626,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,3,-150.20301313848177,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.8137326013044,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.98911948184787,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.96471107978354,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.79727982811775,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.89939913801379,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.35832909358454,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.54158962088354,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.78482514683061,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.07511674932272,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-288.4833050007414,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 6}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,12,-2.973013514565575,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-110.90287757100506,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.84007445887335,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-280.142533681989,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 6}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.04899860364123,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-15.084919167306417,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,13,-42.88744308176249,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.80852607631174,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-148.3908729412418,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
